Id,ActivityDate,TotalSteps,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,Engagement
4020332650,3/27/2016,7144,0,0,0,1440,3510,Medium
4020332650,3/28/2016,2106,31,45,75,1289,4010,Medium
4020332650,3/29/2016,4152,0,0,187,1253,2976,Medium
4020332650,3/30/2016,5400,0,0,258,795,3418,High
4020332650,3/31/2016,7428,18,33,261,860,3439,High
4020332650,4/1/2016,5351,15,17,210,748,3338,High
4020332650,4/2/2016,4299,3,15,162,752,2892,High
4020332650,4/3/2016,6107,0,0,265,776,3313,High
4020332650,4/4/2016,6429,0,28,193,741,3118,High
4020332650,4/5/2016,6880,7,19,165,1249,2966,Medium
4020332650,4/6/2016,7476,0,0,263,920,3253,High
4020332650,4/7/2016,6581,0,8,241,1191,3032,Medium
4020332650,4/8/2016,10480,6,37,272,1125,4034,High
4020332650,4/9/2016,7734,20,12,223,1185,3264,High
4020332650,4/10/2016,5129,5,7,176,1178,2817,High
4020332650,4/11/2016,2993,0,0,114,888,2507,Medium
4020332650,4/12/2016,8,0,0,1,321,446,Medium
4057192912,3/12/2016,0,0,0,0,1440,1777,Low
4057192912,3/13/2016,0,0,0,0,1440,1777,Low
4057192912,3/14/2016,8433,30,7,135,1268,2453,Medium
4057192912,3/15/2016,0,0,0,0,1440,1776,Low
4057192912,3/16/2016,2139,0,28,15,1397,1935,Low
4057192912,3/17/2016,0,0,0,0,1440,1776,Low
4057192912,3/18/2016,949,0,0,34,1406,1870,Low
4057192912,3/19/2016,0,0,0,0,1440,1777,Low
4057192912,3/20/2016,44,0,0,2,1438,1782,Low
4057192912,3/21/2016,2660,0,0,46,1394,1978,Low
4057192912,3/22/2016,5561,0,0,169,1271,2296,Medium
4057192912,3/23/2016,7239,7,7,190,1236,2484,Medium
4057192912,3/24/2016,7,0,0,1,1439,1787,Low
4057192912,3/25/2016,0,0,0,0,1440,1776,Low
4057192912,3/26/2016,0,0,0,0,1440,1776,Low
4057192912,3/27/2016,2275,0,0,86,1354,2005,Low
4057192912,3/28/2016,8,0,0,1,1439,1778,Low
4057192912,3/29/2016,5137,0,0,160,1280,2293,Medium
4057192912,3/30/2016,5419,0,0,145,1295,2259,Medium
4057192912,3/31/2016,0,0,0,0,1440,1776,Low
4057192912,4/1/2016,0,0,0,0,1440,1776,Low
4057192912,4/2/2016,0,0,0,0,1440,1776,Low
4057192912,4/3/2016,0,0,0,0,1440,1776,Low
4057192912,4/4/2016,0,0,0,0,1440,1776,Low
4057192912,4/5/2016,0,0,0,0,1440,1776,Low
4057192912,4/6/2016,18,0,0,2,1438,1780,Low
4057192912,4/7/2016,4,0,0,1,1439,1778,Low
4057192912,4/8/2016,8426,2,120,25,1293,2360,Medium
4057192912,4/9/2016,1650,0,0,60,1380,1952,Low
4057192912,4/10/2016,3434,1,7,108,1324,2101,Medium
4057192912,4/11/2016,6801,0,0,193,1247,2393,Medium
4057192912,4/12/2016,187,0,0,11,400,538,Medium
4319703577,3/29/2016,5643,3,8,199,683,1958,High
4319703577,3/30/2016,9043,4,12,244,702,2141,High
4319703577,3/31/2016,8144,4,17,247,1125,2129,Medium
4319703577,4/1/2016,9343,14,20,268,654,2216,High
4319703577,4/2/2016,8405,15,4,257,621,2154,High
4319703577,4/3/2016,8223,12,37,257,551,2178,High
4319703577,4/4/2016,10067,5,39,313,578,2308,High
4319703577,4/5/2016,8359,3,14,311,638,2201,High
4319703577,4/6/2016,10946,8,51,308,569,2341,High
4319703577,4/7/2016,9130,7,11,304,668,2236,High
4319703577,4/8/2016,6544,4,6,276,1132,2069,Medium
4319703577,4/9/2016,0,0,0,0,1440,0,Low
4388161847,3/29/2016,0,0,0,0,1440,1878,Low
4388161847,3/30/2016,0,0,0,0,1440,1878,Low
4388161847,3/31/2016,0,0,0,0,1440,1878,Low
4388161847,4/1/2016,0,0,0,0,1440,1878,Low
4388161847,4/2/2016,0,0,0,0,1440,1878,Low
4388161847,4/3/2016,0,0,0,0,1440,1878,Low
4388161847,4/4/2016,0,0,0,0,1440,1878,Low
4388161847,4/5/2016,0,0,0,0,994,1296,Low
4445114986,3/29/2016,2303,0,0,155,807,2010,Medium
4445114986,3/30/2016,2600,0,0,163,1277,2032,Low
4445114986,3/31/2016,4804,0,0,238,786,2227,Medium
4445114986,4/1/2016,3271,0,0,205,898,2133,Medium
4445114986,4/2/2016,5406,0,0,273,672,2317,High
4445114986,4/3/2016,3146,0,0,171,1269,2058,Medium
4445114986,4/4/2016,2422,0,0,110,1330,1935,Low
4445114986,4/5/2016,4239,1,6,235,702,2217,High
4445114986,4/6/2016,6911,28,2,215,745,2374,High
4445114986,4/7/2016,6667,24,1,208,939,2335,Medium
4445114986,4/8/2016,5543,0,0,266,941,2303,Medium
4445114986,4/9/2016,4195,0,0,239,758,2210,High
4445114986,4/10/2016,6625,0,0,316,755,2424,High
4445114986,4/11/2016,5986,23,5,195,789,2297,Medium
4445114986,4/12/2016,278,0,0,20,253,745,Medium
4558609924,4/1/2016,5336,0,0,258,1182,1902,Medium
4558609924,4/2/2016,3183,0,0,173,1180,1680,Medium
4558609924,4/3/2016,6176,1,7,269,886,1901,Medium
4558609924,4/4/2016,8205,0,0,367,1073,2078,Medium
4558609924,4/5/2016,6799,24,14,185,1217,1876,Medium
4558609924,4/6/2016,5668,0,0,259,1181,1853,Medium
4558609924,4/7/2016,7998,27,12,296,1105,2235,Medium
4558609924,4/8/2016,4195,0,0,241,1199,1778,Low
4558609924,4/9/2016,5512,0,0,276,1164,1882,Medium
4558609924,4/10/2016,6263,0,0,290,1150,1906,Medium
4558609924,4/11/2016,8828,0,0,308,1132,2149,High
4558609924,4/12/2016,1260,0,0,76,555,722,Medium
4702921684,3/29/2016,6506,4,5,241,760,2886,High
4702921684,3/30/2016,7583,3,13,227,742,2915,High
4702921684,3/31/2016,6963,0,0,256,759,2895,High
4702921684,4/1/2016,7165,0,9,248,708,2923,High
4702921684,4/2/2016,10328,0,32,367,475,3323,High
4702921684,4/3/2016,12116,3,57,323,471,3357,High
4702921684,4/4/2016,7810,6,27,216,746,2931,High
4702921684,4/5/2016,6670,15,16,199,770,2848,High
4702921684,4/6/2016,7605,4,4,248,708,2943,High
4702921684,4/7/2016,6585,0,0,210,770,2822,High
4702921684,4/8/2016,8184,0,15,247,808,2981,High
4702921684,4/9/2016,14002,8,56,381,407,3597,High
4702921684,4/10/2016,11135,1,25,331,528,3224,High
4702921684,4/11/2016,6499,0,0,207,809,2677,High
4702921684,4/12/2016,0,0,0,0,1440,0,Low
5553957443,4/1/2016,12409,51,12,235,782,2142,High
